name,dm_percent,crude_protein_percent,crude_fiber_percent,crude_fat_percent,ash_percent,starch_percent,sugar_percent,ndf_percent,adf_percent,de_pig_kcal_per_kg,me_pig_kcal_per_kg,ne_pig_growth_kcal_per_kg,ne_pig_sow_kcal_per_kg,amen_broiler_kcal_per_kg,amen_cockerel_kcal_per_kg,tdn_percent,me_ruminant_kcal_per_kg,ne_ruminant_kcal_per_kg,calcium_g_per_kg,phosphorus_g_per_kg,sodium_g_per_kg,chloride_g_per_kg,potassium_g_per_kg,magnesium_g_per_kg,iron_mg_per_kg,copper_mg_per_kg,manganese_mg_per_kg,zinc_mg_per_kg,selenium_mg_per_kg,digestible_p_pig_no_phytase_g_kg,digestible_p_pig_with_phytase_g_kg,available_p_cockerel_g_kg,available_p_broiler_g_kg,lysine_total_g_kg,methionine_total_g_kg,cystine_total_g_kg,met_cys_total_g_kg,threonine_total_g_kg,tryptophan_total_g_kg,valine_total_g_kg,isoleucine_total_g_kg,leucine_total_g_kg,phenylalanine_total_g_kg,tyrosine_total_g_kg,histidine_total_g_kg,arginine_total_g_kg,alanine_total_g_kg,aspartic_acid_total_g_kg,glutamic_acid_total_g_kg,glycine_total_g_kg,serine_total_g_kg,proline_total_g_kg,lysine_sid_pig_g_kg,methionine_sid_pig_g_kg,met_cys_sid_pig_g_kg,threonine_sid_pig_g_kg,tryptophan_sid_pig_g_kg,valine_sid_pig_g_kg,isoleucine_sid_pig_g_kg,leucine_sid_pig_g_kg,histidine_sid_pig_g_kg,arginine_sid_pig_g_kg,linoleic_acid_g_kg,linolenic_acid_g_kg,vitamin_a_kiu_kg,vitamin_d_kiu_kg,vitamin_e_mg_kg,vitamin_k_mg_kg,choline_mg_kg,riboflavin_mg_kg,niacin_mg_kg,pantothenic_acid_mg_kg,vitamin_b12_ug_kg,folic_acid_mg_kg,tdf_percent,lysine_sid_poultry_g_kg,methionine_sid_poultry_g_kg,cystine_sid_poultry_g_kg,met_cys_sid_poultry_g_kg,threonine_sid_poultry_g_kg,tryptophan_sid_poultry_g_kg,valine_sid_poultry_g_kg,isoleucine_sid_poultry_g_kg,leucine_sid_poultry_g_kg,phenylalanine_sid_poultry_g_kg,tyrosine_sid_poultry_g_kg,phe_tyr_sid_poultry_g_kg,histidine_sid_poultry_g_kg,arginine_sid_poultry_g_kg,alanine_sid_poultry_g_kg,aspartic_acid_sid_poultry_g_kg,glutamic_acid_sid_poultry_g_kg,glycine_sid_poultry_g_kg,serine_sid_poultry_g_kg,proline_sid_poultry_g_kg
Alfalfa protein concentrate,92.2,52.2,1.9,8.3,9.9,0.3,0.7,17.2,3.9,3750.0,3420.0,2200.0,2280.0,2730.0,2730.0,72.6,3540.0,2440.0,33.8,8.5,0.07,1.3,7.0,1.4,538.0,13.0,103.0,19.0,0.2,2.5,3.8,6.8,6.8,31.5,10.7,5.0,15.7,25.0,8.0,31.2,26.3,46.2,31.1,22.3,13.2,31.3,30.7,50.1,55.0,27.1,21.9,23.4,25.1,9.1,13.0,19.7,6.4,25.4,21.7,39.0,11.0,27.8,16.7,20.5,207.0,0.0,867.0,100.0,1190.0,4.5,6.0,0.0,0.01,0.7,9.5,28.2,9.2,2.9,12.1,20.4,6.7,25.1,21.4,39.1,26.2,19.8,45.9,11.1,28.2,24.7,42.5,45.2,20.9,17.2,18.3
"Alfalfa, dehydrated, protein 16-18% dry matter",90.8,15.4,27.5,2.2,10.9,0.09,4.0,42.1,31.0,1710.0,1590.0,880.0,940.0,1060.0,1080.0,47.3,1910.0,1030.0,20.3,2.3,0.33,5.2,23.5,1.8,410.0,6.0,30.0,23.0,0.1,0.7,1.0,2.0,2.0,6.5,1.6,2.0,3.6,5.6,2.1,9.3,5.9,10.4,6.6,4.4,2.1,5.7,7.4,15.8,13.9,6.5,6.3,6.2,3.6,1.2,1.9,3.5,1.0,6.2,4.0,7.5,1.2,4.2,3.2,4.0,55.1,0.0,123.0,20.0,1421.0,12.3,40.8,30.6,23.6,1.5,43.0,3.6,0.9,1.0,1.9,3.0,1.1,5.0,3.2,5.5,3.5,2.3,5.8,1.1,3.0,4.2,8.4,7.5,3.6,3.3,3.4
"Alfalfa, dehydrated, protein 17-19% dry matter",90.6,16.2,26.2,2.2,11.1,0.09,4.0,40.9,29.8,1740.0,1630.0,900.0,970.0,1070.0,1090.0,47.6,1940.0,1060.0,21.2,2.4,0.39,5.4,23.6,1.9,312.0,6.0,32.0,23.0,0.2,0.7,1.1,2.1,2.1,7.1,1.8,2.1,3.9,6.0,2.3,9.8,6.3,11.3,7.2,4.8,2.3,6.3,8.0,16.6,14.8,7.0,6.7,6.6,4.0,1.3,2.1,3.8,1.1,6.6,4.4,8.2,1.3,4.7,3.3,4.0,,0.0,,,,,,,,,42.0,4.2,1.1,1.1,2.2,3.5,1.3,5.6,3.7,6.4,4.1,2.7,6.8,1.3,3.5,4.7,9.4,8.5,4.1,3.8,3.8
"Alfalfa, dehydrated, protein 19-22% dry matter",90.8,18.3,23.0,2.7,11.9,0.09,3.2,38.1,26.8,1860.0,1730.0,990.0,1050.0,1120.0,1150.0,48.6,2050.0,1150.0,22.8,2.5,0.39,5.7,24.6,1.9,313.0,6.0,32.0,30.0,0.2,0.7,1.1,2.1,2.1,8.5,2.3,2.2,4.5,7.1,2.6,11.0,7.4,13.2,8.5,5.8,2.9,7.7,9.2,18.5,17.1,8.1,7.5,7.6,5.2,1.7,2.5,4.7,1.2,7.6,5.3,9.7,1.8,6.0,4.0,4.9,55.2,0.0,123.0,20.0,1422.0,12.3,40.9,30.6,23.62,1.5,39.5,5.7,1.6,1.4,2.9,4.6,1.6,7.2,4.9,8.5,5.5,3.7,9.2,1.9,4.9,6.2,11.8,11.1,5.4,4.8,4.9
"Alfalfa, dehydrated, protein 22-25% dry matter",90.4,20.8,20.5,3.0,11.7,0.09,4.0,35.7,24.4,1960.0,1830.0,1070.0,1130.0,1170.0,1200.0,49.6,2140.0,1230.0,21.1,2.8,0.38,5.4,26.5,1.9,312.0,7.0,31.0,32.0,0.2,0.8,1.3,2.4,2.4,10.2,2.9,2.4,5.4,8.5,3.0,12.6,8.9,15.8,10.3,7.0,3.7,9.6,10.9,20.9,20.0,9.6,8.6,8.8,6.8,2.3,3.1,5.8,1.4,8.8,6.5,11.8,2.4,7.8,4.4,5.4,91.5,0.0,203.0,19.9,1414.0,17.3,50.6,40.6,23.49,3.1,37.3,8.0,2.3,1.8,4.1,6.4,2.2,9.5,6.9,11.8,7.7,5.4,13.0,2.8,7.0,8.4,15.6,15.1,7.3,6.4,6.6
"Alfalfa, dehydrated, protein < 16% dry matter",91.3,14.1,28.0,2.1,10.6,0.09,3.6,42.7,31.5,1700.0,1590.0,870.0,940.0,1070.0,1090.0,47.8,1910.0,1030.0,20.1,2.4,0.55,5.3,22.7,1.9,415.0,7.0,46.0,24.0,0.1,0.7,1.1,2.1,2.1,5.6,1.2,1.9,3.1,4.9,1.9,8.6,5.1,9.2,5.7,3.7,1.6,4.8,6.6,14.6,12.4,5.8,5.8,5.6,2.9,0.9,1.6,3.0,0.9,5.7,3.4,6.5,0.9,3.4,3.1,3.8,,0.0,,,,,,,,,43.6,2.8,0.6,0.9,1.5,2.4,0.9,4.2,2.5,4.4,2.7,1.8,4.5,0.8,2.2,3.3,7.0,6.0,2.9,2.7,2.7
"Alfalfa, dehydrated, protein > 25% dry matter",90.4,23.8,21.9,3.6,11.6,0.09,4.0,37.0,25.8,1990.0,1840.0,1070.0,1130.0,1130.0,1170.0,48.9,2110.0,1190.0,22.6,2.9,0.54,4.8,24.2,1.9,375.0,6.0,33.0,29.0,0.04,0.9,1.3,2.4,2.4,12.3,3.7,2.7,6.4,10.1,3.5,14.4,10.6,18.7,12.3,8.5,4.6,11.6,12.8,23.7,23.3,11.3,9.9,10.2,8.9,2.9,3.8,7.2,1.6,10.3,7.9,14.3,3.2,10.0,5.2,6.4,,0.0,,,,,,,,,38.5,11.1,3.4,2.3,5.6,8.8,3.0,12.5,9.5,16.1,10.6,7.5,18.1,4.0,9.9,11.4,20.4,20.4,9.9,8.5,8.9
Ammonium ferric citrate,99.9,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonium molybdate tetrahydrate,99.9,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Apple pomace, dried",91.0,7.3,26.4,3.0,2.1,2.1,6.0,49.8,41.8,2140.0,2020.0,1250.0,1410.0,1020.0,1050.0,46.1,1970.0,1060.0,0.9,1.2,2.58,0.5,3.0,0.6,68.0,3.0,6.0,4.0,0.04,0.4,0.6,0.3,0.3,3.1,1.1,0.7,1.8,2.3,0.8,3.0,2.8,4.4,2.7,1.9,1.6,3.1,3.0,6.0,9.6,3.1,2.7,2.5,1.8,0.8,1.3,1.4,0.5,2.0,1.9,3.2,1.1,2.5,14.4,1.9,,0.0,,,,,,,,,62.8,2.1,0.8,0.5,1.4,1.5,0.5,2.1,2.0,3.1,2.0,1.2,3.4,1.1,2.2,2.1,4.0,7.0,2.0,1.9,1.7
